Price,Close,High,Low,Open,Volume,Ticker,SMA_5,SMA_10,EMA_5,EMA_10,RSI,MACD,Signal_Line,MA20,20DaySTD,Upper_Band,Lower_Band,Momentum
Ticker,NVDA,NVDA,NVDA,NVDA,NVDA,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,
2020-07-08,10.18314266204834,10.192114491729383,9.933448599888964,9.961607483001048,365480000,NVDA,9.782287216186523,9.533989334106446,9.832212582865225,9.632591355819475,71.60008700585759,0.24886931947961877,0.17467178239026807,9.353683376312256,0.33342445946520277,10.020532295242662,8.68683445738185,0.7159357070922852
2020-07-09,10.475202560424805,10.53600625328091,10.200588280241728,10.346866776450545,494548000,NVDA,9.977457237243652,9.660929679870605,10.046542575385086,9.785793393020443,75.37842151327395,0.3020904783796414,0.20015552158814276,9.410612201690673,0.4170675849619112,10.244747371614496,8.576477031766851,0.9758501052856445
2020-07-10,10.445549011230469,10.620982643258161,10.34537210964692,10.55469679418127,497676000,NVDA,10.150300025939941,9.7595365524292,10.17954472066688,9.90574895996772,74.07116638257693,0.33797981572022806,0.22772038041455983,9.494491624832154,0.4485262380300629,10.391544100892279,8.597439148772029,0.8642139434814453
2020-07-13,10.01992130279541,10.75754119269287,9.992758651355837,10.560926145450688,457076000,NVDA,10.192763137817384,9.84897289276123,10.126336914709725,9.926507567754573,59.7621895311042,0.32829341306951143,0.24783498694555017,9.550299167633057,0.44052451616102667,10.43134819995511,8.669250135311003,0.21231555938720703
2020-07-14,10.343626976013184,10.369294322604768,9.754028984141096,10.042598175407388,542676000,NVDA,10.293488502502441,9.966294288635254,10.198766935144212,10.002347460165229,65.76802357768804,0.34278579047370705,0.2668251476511816,9.610268211364746,0.4633822641730424,10.537032739710831,8.68350368301866,0.503626823425293
2020-07-15,10.194357872009277,10.399445665317455,10.023409234001255,10.380756728353095,403984000,NVDA,10.295731544494629,10.039009380340577,10.197297247432568,10.037258444136873,67.24929848256934,0.33832631956815185,0.28112538203457565,9.6680193901062,0.46044775443027347,10.588914898966747,8.747123881245654,0.0112152099609375
2020-07-16,10.102154731750488,10.173922714885514,9.863674030993504,9.982789851843794,344964000,NVDA,10.221121978759765,10.099289608001708,10.165583075538542,10.04905776915753,61.883657767257894,0.32362162525320315,0.28962463067830113,9.712812232971192,0.4567268743919271,10.626265981755047,8.799358484187337,-0.3730478286743164
2020-07-17,10.168692588806152,10.215541371466017,10.055308895610622,10.192615573697863,266284000,NVDA,10.165750694274902,10.158025360107422,10.166619579961079,10.07080955454819,71.40517192739297,0.3137207208655557,0.294443848715752,9.76182918548584,0.4500354408272934,10.661900067140428,8.861758303831254,-0.2768564224243164
2020-07-20,10.476945877075195,10.49738012892285,10.124084295904627,10.241206704801446,284852000,NVDA,10.257155609130859,10.224959373474121,10.270061678999118,10.144652522280373,74.19469570329501,0.3269784430349798,0.3009507675795976,9.824103212356567,0.4588688063390232,10.741840825034613,8.906365599678521,0.45702457427978516
2020-07-21,10.295282363891602,10.526038461641557,10.253666681461006,10.479188735913805,277036000,NVDA,10.247486686706543,10.270487594604493,10.27846857396328,10.172039766209688,66.01749358344182,0.3191476209703392,0.30459013825774595,9.86406168937683,0.46357589210758043,10.791213473591991,8.93690990516167,-0.04834461212158203
2020-07-22,10.405177116394043,10.568400158790519,10.258400527525158,10.334156308955176,367292000,NVDA,10.289650535583496,10.292691040039063,10.320704754773535,10.214428375334116,67.00977790172968,0.3181418845555566,0.3073004875173081,9.913340187072754,0.46621929667740486,10.845778780427564,8.980901593717943,0.21081924438476562
2020-07-23,10.097172737121582,10.513080531920828,9.998989264473964,10.416392364520581,411660000,NVDA,10.288654136657716,10.25488805770874,10.246194082222885,10.193109168386382,58.92860382465785,0.2891582159745951,0.3036720332087655,9.957908868789673,0.43669216497094715,10.831293198731567,9.084524538847779,-0.00498199462890625
2020-07-24,10.161714553833008,10.331416970601573,9.745557686182647,9.84324209323585,473292000,NVDA,10.287258529663086,10.226504611968995,10.21803423942626,10.187401056649403,56.49275933164964,0.2683035981519666,0.29659834619740577,9.993020582199097,0.42250817172927285,10.838036925657644,9.148004238740551,-0.006978034973144531
2020-07-27,10.387985229492188,10.4081694753929,10.184889869995407,10.199343854779485,292132000,NVDA,10.269466400146484,10.263311004638672,10.274684569448237,10.223870906257181,59.38064652312131,0.2669570016409324,0.2906700772861111,10.05614194869995,0.3780538374982681,10.812249623696488,9.300034273703414,-0.08896064758300781
2020-07-28,10.18264389038086,10.348608469721729,10.176414562543776,10.340883837033779,271636000,NVDA,10.246938705444336,10.24721269607544,10.244004343092445,10.216375085188758,49.99103901755451,0.2464792251673824,0.28183190686236537,10.106753492355347,0.31588020806984723,10.738513908495042,9.474993076215652,-0.11263847351074219
2020-07-29,10.431843757629395,10.482430329585242,10.313725086485062,10.357334200240102,284508000,NVDA,10.252272033691407,10.270961284637451,10.306617481271429,10.25555120745069,49.208829069761606,0.24750569483138207,0.2749666644561687,10.154985332489014,0.285248138531468,10.72548160955195,9.584489055426078,0.026666641235351562
2020-07-30,10.579863548278809,10.588834427546475,10.262138332516479,10.341631901222561,308880000,NVDA,10.348810195922852,10.318732166290284,10.397699503607223,10.314517087601256,52.34936136856138,0.2572971777842543,0.2714327671217858,10.209010887145997,0.25528676625239166,10.71958441965078,9.698437354641214,0.48269081115722656
2020-07-31,10.580613136291504,10.731875674818786,10.399447343189413,10.529278439608769,386080000,NVDA,10.432589912414551,10.359924221038819,10.458670714501984,10.362898187363118,61.5195432645873,0.26209620218669905,0.2695654541347685,10.25897479057312,0.221530417520496,10.702035625614112,9.815913955532128,0.4188985824584961
2020-08-03,10.974839210510254,11.063054601918072,10.680787905817526,10.697982487653372,412720000,NVDA,10.549960708618164,10.409713554382325,10.630726879838075,10.474160191571688,62.603196378461156,0.29431750412416413,0.2745158641326476,10.317336463928223,0.24847375637198751,10.814283976672199,9.820388951184247,0.5868539810180664
2020-08-04,11.191641807556152,11.191641807556152,10.870926855134206,11.014463809837823,310336000,NVDA,10.751760292053223,10.49934949874878,10.817698522410769,10.604611394477953,69.38951992638808,0.3335028623395253,0.28631326377402316,10.384918546676635,0.29184152748281955,10.968601601642275,9.801235491710996,1.008997917175293
2020-08-05,11.25045108795166,11.335177761725884,11.130339009824512,11.20783916726812,249924000,NVDA,10.915481758117675,10.583876895904542,10.961949377591067,10.722036793291354,72.61926584954196,0.36509437775530706,0.30206948657027993,10.438283967971802,0.3456293858345396,11.129542739640883,9.747025196302722,0.8186073303222656
2020-08-06,11.299042701721191,11.321470375588017,11.14279711245968,11.313246673361853,244316000,NVDA,11.059317588806152,10.704063892364502,11.074313818967775,10.826946958460415,72.42430177928115,0.38956119944723255,0.3195678291456705,10.479475975036621,0.39572323934733655,11.270922453731295,9.688029496341947,0.7191791534423828
2020-08-07,11.163483619689941,11.467752133742245,11.002004891962478,11.276120139418081,342516000,NVDA,11.17589168548584,10.804240798950195,11.104037085875165,10.888135442320328,64.6216560020697,0.393477087967506,0.3343496809100376,10.515372705459594,0.4240335559587437,11.363439817377081,9.667305593542107,0.5828704833984375
2020-08-10,11.129094123840332,11.371561742842399,10.82158594869938,11.297800314706754,427796000,NVDA,11.206742668151856,10.87835168838501,11.112389431863555,10.931946111687601,68.9468193158396,0.38931770080914774,0.34534328488985966,10.570831346511842,0.42833541607578113,11.427502178663405,9.714160514360278,0.15425491333007812
2020-08-11,10.815105438232422,11.100933055062995,10.761029198085874,11.038134994023002,354512000,NVDA,11.13143539428711,10.941597843170166,11.013294767319845,10.910702352877568,58.524210738563355,0.3565747222655382,0.3475895723649954,10.594405269622802,0.42814697141634783,11.450699212455499,9.738111326790106,-0.37653636932373047
2020-08-12,11.403459548950195,11.430123135434767,10.923009269100167,10.955405018103972,464412000,NVDA,11.162037086486816,11.038759422302245,11.143349694529963,11.000294570345318,74.32705217625757,0.3737920929536944,0.35283007648273523,10.654860353469848,0.4533107053915072,11.561481764252862,9.748238942686834,0.15300846099853516
2020-08-13,11.40619945526123,11.684053420908599,11.319230292306688,11.508867898189042,374460000,NVDA,11.183468437194824,11.121393013000489,11.230966281440386,11.074095458511847,73.722167787913,0.3832403150167636,0.3589121241895409,10.720062589645385,0.46330174471044205,11.64666607906627,9.793459100224501,0.10715675354003906
2020-08-14,11.526809692382812,11.667106964479247,11.403707004210982,11.49291864273222,366436000,NVDA,11.256133651733398,11.216012668609618,11.329580751754529,11.156407137397476,72.61922527069504,0.39589668665973043,0.36630903668357884,10.78796844482422,0.47754468145765955,11.743057807739538,9.832879081908901,0.3633260726928711
2020-08-17,12.297323226928711,12.369839349029562,11.779245137203514,11.813135235638537,621300000,NVDA,11.489779472351074,11.348261070251464,11.65216157681259,11.363846426403153,84.30076858039,0.4627664713391084,0.3856005236146848,10.878987312316895,0.5780483347483273,12.03508398181355,9.72289064282024,1.168229103088379
2020-08-18,12.221320152282715,12.45581407718295,12.04738181808775,12.409961530674698,503448000,NVDA,11.771022415161132,11.451228904724122,11.8418811019693,11.519750740199438,80.7538117317547,0.5038207129669843,0.40924456148514465,10.97528920173645,0.6334667596945348,12.24222272112552,9.70835568234738,1.406214714050293
2020-08-19,12.09946060180664,12.275392314685204,12.059090218322682,12.256952437629025,622624000,NVDA,11.910222625732422,11.53612985610962,11.927740935248414,11.625152533218928,76.3526415398238,0.5205231807233037,0.4315002853327765,11.06000337600708,0.6656823289146411,12.391368033836361,9.728638718177798,0.6960010528564453
